"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SOCS2",-1.59236195006522,1.9908910556114,-12.7464655565697,6.31813487674761e-33,1.17496927627258e-31,63.7115133560244
"NPR3",-1.34003116113488,1.55988367951872,-12.7407781173555,6.68720339275254e-33,1.24235174410371e-31,63.6551149790147
"HMBS",1.00047154135265,2.84366728514516,12.7304471171073,7.4133607819958e-33,1.37587202923801e-31,63.5527054654611
"CDC45",1.55533008247389,1.86504014055024,12.730177336968,7.43333994450813e-33,1.37819352056569e-31,63.5500317987162
"CISD2",0.733604890386221,3.9091496423626,12.728136468045,7.58622803125749e-33,1.40512785864095e-31,63.5298067087363
"CASP6",0.898367652032959,3.71316877814307,12.7231680054689,7.97164803326838e-33,1.47503473337748e-31,63.4805766040049
"NRN1",-1.62256385948473,1.97796484479749,-12.7220700117202,8.05941926698856e-33,1.48978122883171e-31,63.4696985572046
"HNRNPC",0.632614842905712,5.67903074034477,12.7157124992052,8.58687256592093e-33,1.585691942904e-31,63.4067236782952
"COPS7B",0.641348603848091,2.8718678848837,12.7137357078037,8.75777934083318e-33,1.6156351327969e-31,63.3871459807762
"GTSE1",1.34722074297737,1.56114851251958,12.7123138101351,8.88280211481254e-33,1.63706227186875e-31,63.3730648757456
"XPR1",1.53656392686651,3.93589059931414,12.7107966809945,9.01815836568712e-33,1.66034915698798e-31,63.3580416587067
"MFSD9",0.794659925466779,2.30167089721393,12.709869644605,9.10187612280277e-33,1.67409183163974e-31,63.3488622675049
"EPB41L2",-1.22533009260718,2.41385142847209,-12.6997233435727,1.00703122662098e-32,1.85036972795855e-31,63.2484193707053
"GMFG",-1.43866675353493,3.94892363149201,-12.6985534445372,1.01883742837447e-32,1.87020028643307e-31,63.2368408825058
"CDCA7",1.83671111227287,2.43875929785803,12.6883762515697,1.12753255477162e-32,2.06766606067862e-31,63.1361423717547
"DECR2",1.05651649268128,2.56249781312502,12.6866126390863,1.14750901467598e-32,2.10220916611146e-31,63.1186968485732
"MEX3A",1.87697744170719,2.01710275000376,12.6750443135489,1.28756958718658e-32,2.35412128289573e-31,63.0042974718347
"TDRKH",1.07954641884163,2.6966168505321,12.6677177105979,1.38494861460536e-32,2.52965663784551e-31,62.9318747850447
"COLEC12",-1.77198609233499,2.65267054726794,-12.667126143692,1.39312395986991e-32,2.54207228602177e-31,62.9260282328324
"UTP6",0.618119595620846,3.04632468571988,12.6647965668289,1.42578812261225e-32,2.59910467252478e-31,62.9030061322018
"THBS2",2.326160623144,4.29881046902098,12.6623573580323,1.46080690217447e-32,2.66031251049502e-31,62.878903134435
"PDCD6",0.966738888238464,3.70486206840517,12.6525822928458,1.60994727436706e-32,2.92902439028831e-31,62.7823371242527
"MOCS1",-1.04216556140419,1.82765500073991,-12.6514156510235,1.62873047149024e-32,2.96027780670463e-31,62.7708148858026
