Tag	dynamicColors	mergedColors
HIST1H2AI	grey	grey
HIST1H2AM	grey	grey
HIST1H2BC	grey	grey
HIST1H2BD	grey	grey
HIST1H2BE	blue	blue
HIST1H2BF	grey	grey
HIST1H2BG	grey	grey
HIST1H2BH	grey	grey
HIST1H2BJ	turquoise	turquoise
HIST1H2BK	grey	grey
HIST1H2BL	blue	blue
HIST1H2BN	grey	grey
HIST1H2BO	turquoise	turquoise
HIST1H3B	blue	blue
HIST1H3D	grey	grey
HIST1H3E	grey	grey
HIST1H3H	grey	grey
HIST1H4D	blue	blue
HIST1H4E	grey	grey
HIST1H4H	grey	grey
HIST1H4I	grey	grey
HIST1H4J	grey	grey
HIST1H4K	grey	grey
HIST2H2AC	turquoise	turquoise
HIST2H2BE	grey	grey
HIST2H2BF	green	green
HIST2H3D	grey	grey
HIST3H2A	magenta	magenta
HIST3H2BB	magenta	magenta
HIST4H4	blue	blue
HIVEP1	blue	blue
HIVEP2	blue	blue
HIVEP3	brown	brown
HJURP	turquoise	turquoise
HK1	grey	grey
HK2	turquoise	turquoise
HK3	brown	brown
HKDC1	turquoise	turquoise
HLA-A	brown	brown
HLA-B	brown	brown
HLA-C	brown	brown
HLA-DMA	brown	brown
HLA-DMB	brown	brown
HLA-DOA	brown	brown
HLA-DOB	greenyellow	greenyellow
HLA-DPA1	brown	brown
HLA-DPB1	brown	brown
